name,value,year,lastValue,rank
goog,299240,2020.9,292323.3333,2
goog,292323.3333,2020.8,285406.6667,2
goog,285406.6667,2020.7,278490,2
goog,278490,2020.6,276793.3333,2
goog,276793.3333,2020.5,275096.6667,2
goog,275096.6667,2020.4,273400,2
goog,273400,2020.3,274236.6667,2
goog,274236.6667,2020.2,275073.3333,2
goog,275073.3333,2020.1,271620,2
goog,271620,2020,261060,2
goog,261060,2019.9,259080,2
goog,259080,2019.8,257100,2
goog,257100,2019.7,253183.3333,2
goog,253183.3333,2019.6,249266.6667,2
goog,249266.6667,2019.5,245350,2
goog,245350,2019.4,241163.3333,2
goog,241163.3333,2019.3,236976.6667,2
goog,236976.6667,2019.2,229040,2
goog,229040,2019.1,221540,2
goog,221540,2019,214920,2
goog,214920,2018.9,211610,2
goog,211610,2018.8,210053.3333,2
goog,210053.3333,2018.7,208496.6667,2
goog,208496.6667,2018.6,206940,2
goog,206940,2018.5,203726.6667,2
goog,203726.6667,2018.4,200513.3333,2
goog,200513.3333,2018.3,194713.3333,2
goog,194713.3333,2018.2,189540,2
goog,189540,2018.1,185900,2
goog,185900,2018,178620,2
goog,178620,2017.9,176666.6667,2
goog,176666.6667,2017.8,174713.3333,2
goog,174713.3333,2017.7,172760,2
goog,172760,2017.6,171006.6667,2
goog,171006.6667,2017.5,169253.3333,2
goog,169253.3333,2017.4,164983.3333,2
goog,164983.3333,2017.3,159950,2
goog,159950,2017.2,158063.3333,2
goog,158063.3333,2017.1,156176.6667,2
goog,156176.6667,2017,152776.6667,2
goog,152776.6667,2016.9,151263.3333,2
goog,151263.3333,2016.8,149750,2
goog,149750,2016.7,148986.6667,2
goog,148986.6667,2016.6,148223.3333,2
goog,148223.3333,2016.5,146400,2
goog,146400,2016.4,144280,2
goog,144280,2016.3,142456.6667,2
goog,142456.6667,2016.2,140633.3333,2
goog,140633.3333,2016.1,138810,2
goog,138810,2016,135203.3333,2
goog,135203.3333,2015.9,133400,2
goog,133400,2015.8,131996.6667,2
