name,value,color,ind_list
Stanford,682,#5487b1,AllIndustries
Harvard,517,#63a1af,AllIndustries
MIT,336,#7ab8aa,AllIndustries
UPENN,294,#93caa8,AllIndustries
UC Berkeley,287,#add7a8,AllIndustries
Cornell,153,#c6e3a7,AllIndustries
CMU,145,#c6e3a7,AllIndustries
Columbia,119,#c6e3a7,AllIndustries
UMich,109,#c6e3a7,AllIndustries
Oxford,108,#c6e3a7,AllIndustries
UW,108,#c6e3a7,AllIndustries
UCLA,100,#c6e3a7,AllIndustries
NU,95,#c6e3a7,AllIndustries
Cambridge,94,#c6e3a7,AllIndustries
NYU,93,#c6e3a7,AllIndustries
USC,93,#c6e3a7,AllIndustries
UIUC,92,#c6e3a7,AllIndustries
Tel Aviv,86,#c6e3a7,AllIndustries
UT Austin,85,#c6e3a7,AllIndustries
SNU,6,#E7846F,AllIndustries
KAIST,4,#E7846F,AllIndustries
Yonsei,3,#E7846F,AllIndustries
Stanford,31,#5487b1,AI
Harvard,22,#63a1af,AI
MIT,19,#7ab8aa,AI
UPENN,5,#93caa8,AI
UC Berkeley,24,#add7a8,AI
Cornell,10,#c6e3a7,AI
CMU,5,#c6e3a7,AI
Columbia,6,#c6e3a7,AI
UMich,3,#c6e3a7,AI
Oxford,5,#c6e3a7,AI
UW,3,#c6e3a7,AI
UCLA,9,#c6e3a7,AI
NU,7,#c6e3a7,AI
Cambridge,3,#c6e3a7,AI
NYU,8,#c6e3a7,AI
USC,3,#c6e3a7,AI
UIUC,7,#c6e3a7,AI
Tel Aviv,6,#c6e3a7,AI
UT Austin,4,#c6e3a7,AI
Stanford,94,#5487b1,Ecommerce
Harvard,56,#63a1af,Ecommerce
MIT,25,#7ab8aa,Ecommerce
UPENN,19,#93caa8,Ecommerce
UC Berkeley,30,#add7a8,Ecommerce
Cornell,21,#c6e3a7,Ecommerce
CMU,20,#c6e3a7,Ecommerce
Columbia,11,#c6e3a7,Ecommerce
UMich,15,#c6e3a7,Ecommerce
Oxford,11,#c6e3a7,Ecommerce
UW,17,#c6e3a7,Ecommerce
UCLA,7,#c6e3a7,Ecommerce
NU,12,#c6e3a7,Ecommerce
Cambridge,11,#c6e3a7,Ecommerce
NYU,12,#c6e3a7,Ecommerce
USC,25,#c6e3a7,Ecommerce
UIUC,7,#c6e3a7,Ecommerce
Tel Aviv,6,#c6e3a7,Ecommerce
UT Austin,13,#c6e3a7,Ecommerce
Stanford,26,#5487b1,Education
Harvard,11,#63a1af,Education
MIT,6,#7ab8aa,Education
UPENN,7,#93caa8,Education
UC Berkeley,5,#add7a8,Education
Cornell,3,#c6e3a7,Education
CMU,1,#c6e3a7,Education
Columbia,1,#c6e3a7,Education
UMich,0,#c6e3a7,Education
Oxford,1,#c6e3a7,Education
UW,0,#c6e3a7,Education
UCLA,1,#c6e3a7,Education
NU,1,#c6e3a7,Education
Cambridge,2,#c6e3a7,Education
NYU,5,#c6e3a7,Education
USC,0,#c6e3a7,Education
UIUC,0,#c6e3a7,Education
Tel Aviv,3,#c6e3a7,Education
UT Austin,0,#c6e3a7,Education
Stanford,3,#5487b1,F&B
Harvard,14,#63a1af,F&B
MIT,0,#7ab8aa,F&B
UPENN,4,#93caa8,F&B
UC Berkeley,1,#add7a8,F&B
Cornell,1,#c6e3a7,F&B
CMU,1,#c6e3a7,F&B
Columbia,0,#c6e3a7,F&B
UMich,0,#c6e3a7,F&B
Oxford,1,#c6e3a7,F&B
UW,0,#c6e3a7,F&B
UCLA,1,#c6e3a7,F&B
NU,3,#c6e3a7,F&B
Cambridge,0,#c6e3a7,F&B
NYU,1,#c6e3a7,F&B
USC,0,#c6e3a7,F&B
UIUC,0,#c6e3a7,F&B
Tel Aviv,0,#c6e3a7,F&B
UT Austin,1,#c6e3a7,F&B
Stanford,108,#5487b1,Financial
Harvard,95,#63a1af,Financial
MIT,33,#7ab8aa,Financial
UPENN,70,#93caa8,Financial
UC Berkeley,38,#add7a8,Financial
Cornell,20,#c6e3a7,Financial
CMU,16,#c6e3a7,Financial
Columbia,56,#c6e3a7,Financial
UMich,15,#c6e3a7,Financial
Oxford,32,#c6e3a7,Financial
UW,7,#c6e3a7,Financial
UCLA,6,#c6e3a7,Financial
NU,8,#c6e3a7,Financial
Cambridge,6,#c6e3a7,Financial
NYU,18,#c6e3a7,Financial
