,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count
0,SoftBank,"Tokyo, Tokyo, Japan",2,Financial Services,1981/09/03,35.6777691,139.7646365,3,1
1,Citigroup,"New York, New York, United States",2,Financial Services,1998/10/08,40.7127281,-74.0060152,112,22
8,Seedrs,"London, England, United Kingdom",2,Financial Services,2009/01/01,51.5073219,-0.1276474,48,21
12,Razorpay,"Bangalore, Karnataka, India",2,Financial Services,2014/12/01,12.9791198,77.5912997,15,2
13,Ripple,"San Francisco, California, United States",2,Financial Services,2012/01/01,37.7790262,-122.4199061,161,17
20,Crowdcube,"Exeter, Devon, United Kingdom",2,Financial Services,2010/08/01,50.725562,-3.5269108,1,1
22,Tipalti,"San Mateo, California, United States",2,Financial Services,2010/01/01,37.496904,-122.3330573,18,2
26,Silver Lake,"Menlo Park, California, United States",2,Financial Services,1999/01/01,37.4519671,-122.1779927,6,3
43,Plaid,"San Francisco, California, United States",2,Financial Services,2012/01/01,37.7790262,-122.4199061,161,17
55,Uniswap,"Brooklyn, New York, United States",2,Financial Services,2018/01/01,40.6501038,-73.9495823,7,2
57,Nubank,"São Paulo, Sao Paulo, Brazil",2,Financial Services,2013/05/06,-23.5506507,-46.6333824,2,2
72,BlackRock,"New York, New York, United States",2,Financial Services,1988/01/01,40.7127281,-74.0060152,112,22
73,TransferWise,"London, England, United Kingdom",2,Financial Services,2011/01/01,51.5073219,-0.1276474,48,21
79,MineralTree,"Cambridge, Massachusetts, United States",2,Financial Services,2010/01/01,42.3750997,-71.1056157,8,1
85,Rocket Internet,"Berlin, Berlin, Germany",2,Financial Services,2007/01/01,52.5170365,13.3888599,14,3
86,Techstars,"Boulder, Colorado, United States",2,Financial Services,2006/08/01,40.0149856,-105.2705456,1,1
89,Apollo,"New York, New York, United States",2,Financial Services,1990/01/01,40.7127281,-74.0060152,112,22
96,TrueLayer,"London, England, United Kingdom",2,Financial Services,2016/07/14,51.5073219,-0.1276474,48,21
106,Draper Esprit,"London, England, United Kingdom",2,Financial Services,2006/01/01,51.5073219,-0.1276474,48,21
108,Creative Destruction Lab,"Toronto, Ontario, Canada",2,Financial Services,2012/08/01,43.6534817,-79.3839347,9,5
117,Melio,"New York, New York, United States",2,Financial Services,2018/07/01,40.7127281,-74.0060152,112,22
122,Avaloq,"Zürich, Zurich, Switzerland",2,Financial Services,1991/01/01,47.3723941,8.5423328,4,2
124,Aura,"San Francisco, California, United States",2,Financial Services,2012/01/01,37.7790262,-122.4199061,161,17
128,Kraken,"San Francisco, California, United States",2,Financial Services,2011/07/28,37.7790262,-122.4199061,161,17
129,Marco,"Miami, Florida, United States",2,Financial Services,2019/01/01,25.7742658,-80.1936589,4,1
138,MarketFinance,"London, England, United Kingdom",2,Financial Services,2011/01/01,51.5073219,-0.1276474,48,21
143,Spendesk,"Paris, Ile-de-France, France",2,Financial Services,2016/01/01,48.8566969,2.3514616,10,3
156,Airwallex,"Quarry Bay, Hong Kong Island, Hong Kong",2,Financial Services,2015/12/01,22.302711,114.177216,2,1
168,Ava Labs,"Brooklyn, New York, United States",2,Financial Services,2018/01/01,40.6501038,-73.9495823,7,2
178,Bitpanda,"Vienna, Wien, Austria",2,Financial Services,2014/11/28,48.2083537,16.3725042,2,1
197,Workday,"Pleasanton, California, United States",2,Financial Services,2005/03/01,37.6624312,-121.8746789,3,1
