,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
3,Facebook,"Menlo Park, California, United States",3,E_Commerce,2004/02/04,37.4519671,-122.1779927,6,1,#CD59B1
4,Reliance Retail,"Mumbai, Maharashtra, India",3,E_Commerce,2006/01/01,18.9387711,72.8353355,13,2,#CD59B1
5,Delivery Hero,"Berlin, Berlin, Germany",3,E_Commerce,2010/10/01,52.5170365,13.3888599,14,3,#CD59B1
10,Alibaba Group,"Hangzhou, Zhejiang, China",3,E_Commerce,1999/04/04,30.2489634,120.2052342,2,2,#CD59B1
21,Shopify,"Ottawa, Ontario, Canada",3,E_Commerce,2004/06/02,45.421106,-75.690308,1,1,#CD59B1
32,The Honest Company,"Santa Monica, California, United States",3,E_Commerce,2011/01/01,34.0250724,-118.4965129,7,1,#CD59B1
39,Chargebee,"San Francisco, California, United States",3,E_Commerce,2011/06/15,37.7790262,-122.4199061,161,11,#CD59B1
41,Myntra,"Bangalore, Karnataka, India",3,E_Commerce,2007/01/01,12.9791198,77.5912997,15,2,#CD59B1
64,Livspace,"Bengaluru, Karnataka, India",3,E_Commerce,2014/01/01,12.9791198,77.5912997,6,3,#CD59B1
69,VTEX,"New York, New York, United States",3,E_Commerce,2000/01/01,40.7127281,-74.0060152,112,13,#CD59B1
74,Cadre,"New York, New York, United States",3,E_Commerce,2014/09/11,40.7127281,-74.0060152,112,13,#CD59B1
76,Groupon,"Chicago, Illinois, United States",3,E_Commerce,2007/01/01,41.8755616,-87.6244212,16,2,#CD59B1
99,Clearbanc,"Toronto, Ontario, Canada",3,E_Commerce,2015/10/01,43.6534817,-79.3839347,9,1,#CD59B1
104,Birchbox,"New York, New York, United States",3,E_Commerce,2010/01/01,40.7127281,-74.0060152,112,13,#CD59B1
120,Carousell,"Singapore, Central Region, Singapore",3,E_Commerce,2012/08/01,16.7796467,96.175243,7,3,#CD59B1
125,Paytm,"Noida, Uttar Pradesh, India",3,E_Commerce,2010/01/01,28.5356329,77.3910727,4,1,#CD59B1
126,Flipkart,"Bengaluru, Karnataka, India",3,E_Commerce,2007/01/01,12.9791198,77.5912997,6,3,#CD59B1
127,Wayfair,"Boston, Massachusetts, United States",3,E_Commerce,2002/08/01,42.3602534,-71.0582912,19,1,#CD59B1
150,Goat Group,"Culver City, California, United States",3,E_Commerce,2009/01/01,34.0211224,-118.3964665,6,1,#CD59B1
151,Checkout.com,"London, England, United Kingdom",3,E_Commerce,2012/01/01,51.5073219,-0.1276474,48,4,#CD59B1
153,Etsy,"Brooklyn, New York, United States",3,E_Commerce,2005/06/18,40.6501038,-73.9495823,7,1,#CD59B1
158,BigBasket,"Bangalore, Karnataka, India",3,E_Commerce,2011/10/01,12.9791198,77.5912997,15,2,#CD59B1
167,Nuvei,"Montréal, Quebec, Canada",3,E_Commerce,2003/01/01,45.4972159,-73.6103642,5,2,#CD59B1
169,Omni,"San Francisco, California, United States",3,E_Commerce,2014/08/01,37.7790262,-122.4199061,161,11,#CD59B1
185,eToro,"London, England, United Kingdom",3,E_Commerce,2007/01/01,51.5073219,-0.1276474,48,4,#CD59B1
189,Klarna,"Stockholm, Stockholms Lan, Sweden",3,E_Commerce,2005/02/01,59.3251172,18.0710935,7,1,#CD59B1
190,Zalando,"Berlin, Berlin, Germany",3,E_Commerce,2008/06/01,52.5170365,13.3888599,14,3,#CD59B1
195,Braintrust,"San Jose, California, United States",3,E_Commerce,2018/05/22,37.3361905,-121.8905833,13,1,#CD59B1
206,Payrix,"Frisco, Texas, United States",3,E_Commerce,2015/08/01,33.1506744,-96.8236116,1,1,#CD59B1
215,dLocal,"Montevideo, NA - Uruguay, Uruguay",3,E_Commerce,2016/01/01,-33.0138587,-58.514243,1,1,#CD59B1
242,Stitch Fix,"San Francisco, California, United States",3,E_Commerce,2011/01/01,37.7790262,-122.4199061,161,11,#CD59B1
248,The Hut Group,"Manchester, Manchester, United Kingdom",3,E_Commerce,2004/01/01,53.4794892,-2.2451148,2,1,#CD59B1
281,Ant Group,"Hangzhou, Zhejiang, China",3,E_Commerce,2014/10/01,30.2489634,120.2052342,2,2,#CD59B1
292,Skillz,"San Francisco, California, United States",3,E_Commerce,2012/04/01,37.7790262,-122.4199061,161,11,#CD59B1
293,Meituan-Dianping,"Beijing, Beijing, China",3,E_Commerce,2006/01/01,39.9020668,116.718583,15,1,#CD59B1
294,Amazon,"Seattle, Washington, United States",3,E_Commerce,1994/07/05,47.6038321,-122.3300624,14,4,#CD59B1
297,Warby Parker,"New York, New York, United States",3,E_Commerce,2010/01/01,40.7127281,-74.0060152,112,13,#CD59B1
302,Instacart,"San Francisco, California, United States",3,E_Commerce,2012/01/01,37.7790262,-122.4199061,161,11,#CD59B1
310,GrubMarket,"San Francisco, California, United States",3,E_Commerce,2014/05/01,37.7790262,-122.4199061,161,11,#CD59B1
313,Amazon Pay,"Seattle, Washington, United States",3,E_Commerce,2005/01/01,47.6038321,-122.3300624,14,4,#CD59B1
315,Frontier Digital Ventures,"Kuala Lumpur, Kuala Lumpur, Malaysia",3,E_Commerce,2014/01/01,3.1396189,101.6937436,1,1,#CD59B1
317,Brex,"San Francisco, California, United States",3,E_Commerce,2017/03/01,37.7790262,-122.4199061,161,11,#CD59B1
318,Walmart,"Bentonville, Arkansas, United States",3,E_Commerce,1962/01/02,36.3728538,-94.2088172,1,1,#CD59B1
