name,value,year,lastValue,rank
goog,299240,2020.9,278490,2
goog,278490,2020.6,273400,2
goog,273400,2020.3,275910,2
goog,275910,2019.12,263040,2
goog,263040,2019.9,257100,2
goog,257100,2019.6,245350,2
goog,245350,2019.3,232790,2
goog,232790,2018.12,221540,2
goog,221540,2018.9,211610,2
goog,211610,2018.6,206940,2
goog,206940,2018.3,197300,2
goog,197300,2017.12,189540,2
goog,189540,2017.9,178620,2
goog,178620,2017.6,172760,2
goog,172760,2017.3,167500,2
goog,167500,2016.12,159950,2
goog,159950,2016.9,154290,2
goog,154290,2016.6,149750,2
goog,149750,2016.3,147460,2
goog,147460,2015.12,144280,2
goog,144280,2015.9,138810,2
goog,138810,2015.6,133400,2
goog,133400,2015.3,129190,2
goog,129190,2014.12,125780,2
goog,125780,2014.9,121610,2
goog,121610,2014.6,116530,2
goog,116530,2014.3,110920,2
goog,110920,2013.12,105070,2
goog,105070,2013.9,101180,2
goog,101180,2013.6,96690,2
goog,96690,2013.3,93800,2
goog,93800,2012.12,89730,2
goog,89730,2012.9,86050,2
goog,86050,2012.6,77140,2
goog,77140,2012.3,72570,2
goog,72570,2011.12,69090,2
goog,69090,2011.9,64860,2
goog,64860,2011.6,59960,2
goog,59960,2011.3,57850,2
goog,57850,2010.12,53340,2
goog,53340,2010.9,48040,2
goog,48040,2010.6,42870,2
goog,42870,2010.3,40500,2
goog,40500,2009.12,37700,2
goog,37700,2009.9,35160,2
goog,35160,2009.6,33510,2
goog,33510,2009.3,31770,2
goog,31770,2008.12,30810,2
goog,30810,2008.9,29180,2
goog,29180,2008.6,27600,2
apple,323890,2020.9,317340,1
apple,317340,2020.6,320400,1
apple,320400,2020.3,340620,1
apple,340620,2019.12,338520,1
apple,338520,2019.9,322240,1
apple,322240,2019.6,342000,1
apple,342000,2019.3,373720,1
apple,373720,2018.12,365720,1
apple,365720,2018.9,349200,1
apple,349200,2018.6,367500,1
apple,367500,2018.3,406790,1
apple,406790,2017.12,375320,1
apple,375320,2017.9,345170,1
apple,345170,2017.6,334530,1
apple,334530,2017.3,331140,1
apple,331140,2016.12,321690,1
apple,321690,2016.9,305600,1
apple,305600,2016.6,305280,1
apple,305280,2016.3,293280,1
apple,293280,2015.12,290340,1
apple,290340,2015.9,273150,1
apple,273150,2015.6,261190,1
apple,261190,2015.3,261890,1
apple,261890,2014.12,231840,1
apple,231840,2014.9,222520,1
apple,222520,2014.6,205990,1
apple,205990,2014.3,225180,1
apple,225180,2013.12,207000,1
apple,207000,2013.9,199860,1
apple,199860,2013.6,194740,1
apple,194740,2013.3,196090,1
apple,196090,2012.12,176060,1
apple,176060,2012.9,162900,1
apple,162900,2012.6,150930,1
apple,150930,2012.3,138680,1
apple,138680,2011.12,116370,1
apple,116370,2011.9,106760,1
apple,106760,2011.6,94900,1
apple,94900,2011.3,86740,1
apple,86740,2010.12,75180,1
apple,75180,2010.9,64720,1
apple,64720,2010.6,57060,1
apple,57060,2010.3,53930,1
apple,53930,2009.12,47500,1
apple,47500,2009.9,48140,1
apple,48140,2009.6,43240,1
apple,43240,2009.3,42790,1
apple,42790,2008.12,36170,1
apple,36170,2008.9,31710,1
apple,31710,2008.6,30000,1
amzn,282180,2020.9,258310,3
amzn,258310,2020.6,221240,3
amzn,221240,2020.3,225250,3
amzn,225250,2019.12,199100,3
amzn,199100,2019.9,191350,3
amzn,191350,2019.6,178100,3
amzn,178100,2019.3,162650,3
amzn,162650,2018.12,143700,3
amzn,143700,2018.9,134100,3
amzn,134100,2018.6,126360,3
amzn,126360,2018.3,131310,3
amzn,131310,2017.12,115270,3
amzn,115270,2017.9,87780,3
amzn,87780,2017.6,80970,3
amzn,80970,2017.3,83400,3
amzn,83400,2016.12,70900,3
amzn,70900,2016.9,65080,3
amzn,65080,2016.6,61130,3
amzn,61130,2016.3,64750,3
amzn,64750,2015.12,56230,3
amzn,56230,2015.9,52440,3
amzn,52440,2015.6,50080,3
amzn,50080,2015.3,54500,3
amzn,54500,2014.12,40420,3
amzn,40420,2014.9,37900,3
amzn,37900,2014.6,36360,3
amzn,36360,2014.3,40160,3
amzn,40160,2013.12,31860,3
amzn,31860,2013.9,29620,3
amzn,29620,2013.6,28380,3
amzn,28380,2013.3,32560,3
amzn,32560,2012.12,22830,3
amzn,22830,2012.9,21020,3
amzn,21020,2012.6,20340,3
amzn,20340,2012.3,25280,3
amzn,25280,2011.12,19050,3
amzn,19050,2011.9,17940,3
amzn,17940,2011.6,16880,3
amzn,16880,2011.3,18800,3
amzn,18800,2010.12,14160,3
amzn,14160,2010.9,12400,3
amzn,12400,2010.6,12040,3
amzn,12040,2010.3,13810,3
amzn,13810,2009.12,8972,3
amzn,8972,2009.9,7675,3
amzn,7675,2009.6,6980,3
amzn,6980,2009.3,8314,3
amzn,8314,2008.12,6566,3
amzn,6566,2008.9,6322,3
amzn,6322,2008.6,5883,3
fb,146440,2020.9,139690,4
fb,139690,2020.6,138370,4
fb,138370,2020.3,133380,4
fb,133380,2019.12,124420,4
fb,124420,2019.9,117010,4
fb,117010,2019.6,109480,4
fb,109480,2019.3,97330,4
fb,97330,2018.12,92450,4
fb,92450,2018.9,90290,4
fb,90290,2018.6,88940,4
fb,88940,2018.3,84520,4
fb,84520,2017.12,79000,4
fb,79000,2017.9,73840,4
fb,73840,2017.6,68710,4
fb,68710,2017.3,64960,4
fb,64960,2016.12,59670,4
fb,59670,2016.9,55740,4
fb,55740,2016.6,52080,4
fb,52080,2016.3,49410,4
fb,49410,2015.12,46470,4
fb,46470,2015.9,44130,4
fb,44130,2015.6,42010,4
fb,42010,2015.3,39970,4
fb,39970,2014.12,24190,4
fb,24190,2014.9,20770,4
fb,20770,2014.6,19030,4
fb,19030,2014.3,17900,4
fb,17900,2013.12,14930,4
fb,14930,2013.9,15720,4
