data,goog,amzn,fb,apple,,,name,value,year,lastValue,rank,a,goog,amzn,fb,apple
2020/09,299240,282180,146440,323890,,,goog,299.24B,,,,2020/09/30,299240,282180,146440,323890
2020/08,,,,,,,,,,,,2020/08/30,,,,
2020/07,,,,,,,,,,,,2020/07/30,,,,
2020/06,278490,258310,139690,317340,,,goog,278.49B,,299.24B,,2020/06/30,278490,258310,139690,317340
2020/03,273400,221240,138370,320400,,,goog,273.40B,,278.49B,,2020/05/30,,,,
2019/12,275910,225250,133380,340620,,,goog,275.91B,,273.40B,,2020/04/30,,,,
2020/08,,,,,,,,,,,,2020/03/30,273400,221240,138370,320400
2020/07,,,,,,,,,,,,2020/02/29,,,,
2019/03,245350,178100,109480,342000,,,goog,245.35B,,257.10B,,2020/01/30,,,,
2018/12,232790,162650,97330,373720,,,goog,232.79B,,245.35B,,2019/12/30,275910,225250,133380,340620
2018/09,221540,143700,92450,365720,,,goog,221.54B,,232.79B,,2019/11/30,,,,
2018/06,211610,134100,90290,349200,,,goog,211.61B,,221.54B,,2019/10/30,,,,
2018/03,206940,126360,88940,367500,,,goog,206.94B,,211.61B,,2019/09/30,263040,199100,124420,338520
2017/12,197300,131310,84520,406790,,,goog,197.30B,,206.94B,,2019/08/30,,,,
2017/09,189540,115270,79000,375320,,,goog,189.54B,,197.30B,,2019/07/30,,,,
2017/06,178620,87780,73840,345170,,,goog,178.62B,,189.54B,,2019/06/30,257100,191350,117010,322240
2017/03,172760,80970,68710,334530,,,goog,172.76B,,178.62B,,2019/05/30,,,,
2016/12,167500,83400,64960,331140,,,goog,167.50B,,172.76B,,2019/04/30,,,,
2016/09,159950,70900,59670,321690,,,goog,159.95B,,167.50B,,2019/03/30,245350,178100,109480,342000
2016/06,154290,65080,55740,305600,,,goog,154.29B,,159.95B,,2019/02/28,,,,
2016/03,149750,61130,52080,305280,,,goog,149.75B,,154.29B,,2019/01/30,,,,
2015/12,147460,64750,49410,293280,,,goog,147.46B,,149.75B,,2018/12/30,232790,162650,97330,373720
2015/09,144280,56230,46470,290340,,,goog,144.28B,,147.46B,,2018/11/30,,,,
2015/06,138810,52440,44130,273150,,,goog,138.81B,,144.28B,,2018/10/30,,,,
2015/03,133400,50080,42010,261190,,,goog,133.40B,,138.81B,,2018/09/30,221540,143700,92450,365720
2014/12,129190,54500,39970,261890,,,goog,129.19B,,133.40B,,2018/08/30,,,,
2014/09,125780,40420,24190,231840,,,goog,125.78B,,129.19B,,2018/07/30,,,,
2014/06,121610,37900,20770,222520,,,goog,121.61B,,125.78B,,2018/06/30,211610,134100,90290,349200
2014/03,116530,36360,19030,205990,,,goog,116.53B,,121.61B,,2018/05/30,,,,
2013/12,110920,40160,17900,225180,,,goog,110.92B,,116.53B,,2018/04/30,,,,
2013/09,105070,31860,14930,207000,,,goog,105.07B,,110.92B,,2018/03/30,206940,126360,88940,367500
2013/06,101180,29620,15720,199860,,,goog,101.18B,,105.07B,,2018/02/28,,,,
2013/03,96690,28380,15160,194740,,,goog,96.69B,,101.18B,,2018/01/30,,,,
2012/12,93800,32560,15100,196090,,,goog,93.80B,,96.69B,,2017/12/30,197300,131310,84520,406790
2012/09,89730,22830,16040,176060,,,goog,89.73B,,93.80B,,2017/11/30,,,,
2012/06,86050,21020,14930,162900,,,goog,86.05B,,89.73B,,2017/10/30,,,,
2012/03,77140,20340,7184,150930,,,goog,77.14B,,86.05B,,2017/09/30,189540,115270,79000,375320
2011/12,72570,25280,6331,138680,,,goog,72.57B,,77.14B,,2017/08/30,,,,
2011/09,69090,19050,,116370,,,goog,69.09B,,72.57B,,2017/07/30,,,,
2011/06,64860,17940,,106760,,,goog,64.86B,,69.09B,,2017/06/30,178620,87780,73840,345170
2011/03,59960,16880,,94900,,,goog,59.96B,,64.86B,,2017/05/30,,,,
2010/12,57850,18800,,86740,,,goog,57.85B,,59.96B,,2017/04/30,,,,
2010/09,53340,14160,,75180,,,goog,53.34B,,57.85B,,2017/03/30,172760,80970,68710,334530
2010/06,48040,12400,,64720,,,goog,48.04B,,53.34B,,2017/02/28,,,,
2010/03,42870,12040,,57060,,,goog,42.87B,,48.04B,,2017/01/30,,,,
2009/12,40500,13810,,53930,,,goog,40.50B,,42.87B,,2016/12/30,167500,83400,64960,331140
2009/09,37700,8972,,47500,,,goog,37.70B,,40.50B,,2016/11/30,,,,
2009/06,35160,7675,,48140,,,goog,35.16B,,37.70B,,2016/10/30,,,,
2009/03,33510,6980,,43240,,,goog,33.51B,,35.16B,,2016/09/30,159950,70900,59670,321690
2008/12,31770,8314,,42790,,,goog,31.77B,,33.51B,,2016/08/30,,,,
2008/09,30810,6566,,36170,,,goog,30.81B,,31.77B,,2016/07/30,,,,
2008/06,29180,6322,,31710,,,goog,29.18B,,30.81B,,2016/06/30,154290,65080,55740,305600
2008/03,27600,5883,,,,,goog,27.60B,,29.18B,,2016/05/30,,,,
,,,,,,,,,,27.60B,,2016/04/30,,,,
,,,,,,,,,,,,2016/03/30,149750,61130,52080,305280
,,,,,,,,,,,,2016/02/29,,,,
,,,,,,,,,,,,2016/01/30,,,,
,,,,,,,,,,,,2015/12/30,147460,64750,49410,293280
,,,,,,,,,,,,2015/11/30,,,,
,,,,,,,,,,,,2015/10/30,,,,
,,,,,,,,,,,,2015/09/30,144280,56230,46470,290340
2015/06,138810,52440,44130,273150,,,,,,,,2015/08/30,,,,
2015/03,133400,50080,42010,261190,,,,,,,,2015/07/30,,,,
2014/12,129190,54500,39970,261890,,,,,,,,2015/06/30,138810,52440,44130,273150
2014/09,125780,40420,24190,231840,,,,,,,,2015/05/30,,,,
2014/06,121610,37900,20770,222520,,,,,,,,2015/04/30,,,,
2014/03,116530,36360,19030,205990,,,,,,,,2015/03/30,,,,
2013/12,110920,40160,17900,225180,,,,,,,,2015/02/28,,,,
2013/09,105070,31860,14930,207000,,,,,,,,2015/01/30,,,,
2013/06,101180,29620,15720,199860,,,,,,,,2014/12/30,,,,
2013/03,96690,28380,15160,194740,,,,,,,,2014/11/30,,,,
2012/12,93800,32560,15100,196090,,,,,,,,2014/10/30,,,,
2012/09,89730,22830,16040,176060,,,,,,,,2014/09/30,,,,
2012/06,86050,21020,14930,162900,,,,,,,,2014/08/30,,,,
2012/03,77140,20340,7184,150930,,,,,,,,2014/07/30,,,,
2011/12,72570,25280,6331,138680,,,,,,,,2014/06/30,,,,
2011/09,69090,19050,,116370,,,,,,,,2014/05/30,,,,
2011/06,64860,17940,,106760,,,,,,,,2014/04/30,,,,
2011/03,59960,16880,,94900,,,,,,,,2014/03/30,,,,
2010/12,57850,18800,,86740,,,,,,,,2014/02/28,,,,
