a,goog,amzn,fb,apple
2020/09/30,299240,282180,146440,323890
2020/08/30,292323.3333,274223.3333,144190,321706.6667
2020/07/30,285406.6667,266266.6667,141940,319523.3333
2020/06/30,278490,258310,139690,317340
2020/05/30,276793.3333,245953.3333,139250,318360
2020/04/30,275096.6667,233596.6667,138810,319380
2020/03/30,273400,221240,138370,320400
2020/02/29,274236.6667,222576.6667,136706.6667,327140
2020/01/30,275073.3333,223913.3333,135043.3333,333880
2019/12/30,275910,225250,133380,340620
2019/11/30,271620,216533.3333,130393.3333,339920
2019/10/30,267330,207816.6667,127406.6667,339220
2019/09/30,263040,199100,124420,338520
2019/08/30,261060,196516.6667,121950,333093.3333
2019/07/30,259080,193933.3333,119480,327666.6667
2019/06/30,257100,191350,117010,322240
2019/05/30,,,,
2019/04/30,,,,
2019/03/30,245350,178100,109480,342000
2019/02/28,,,,
2019/01/30,,,,
2018/12/30,232790,162650,97330,373720
2018/11/30,,,,
2018/10/30,,,,
2018/09/30,221540,143700,92450,365720
2018/08/30,,,,
2018/07/30,,,,
2018/06/30,211610,134100,90290,349200
2018/05/30,,,,
2018/04/30,,,,
2018/03/30,206940,126360,88940,367500
2018/02/28,,,,
2018/01/30,,,,
2017/12/30,197300,131310,84520,406790
2017/11/30,,,,
2017/10/30,,,,
2017/09/30,189540,115270,79000,375320
2017/08/30,,,,
2017/07/30,,,,
2017/06/30,178620,87780,73840,345170
2017/05/30,,,,
2017/04/30,,,,
2017/03/30,172760,80970,68710,334530
2017/02/28,,,,
2017/01/30,,,,
2016/12/30,167500,83400,64960,331140
2016/11/30,,,,
2016/10/30,,,,
2016/09/30,159950,70900,59670,321690
2016/08/30,,,,
2016/07/30,,,,
2016/06/30,154290,65080,55740,305600
2016/05/30,,,,
2016/04/30,,,,
2016/03/30,149750,61130,52080,305280
2016/02/29,,,,
2016/01/30,,,,
2015/12/30,147460,64750,49410,293280
2015/11/30,,,,
2015/10/30,,,,
2015/09/30,144280,56230,46470,290340
2015/08/30,,,,
2015/07/30,,,,
2015/06/30,138810,52440,44130,273150
2015/05/30,,,,
2015/04/30,,,,
2015/03/30,133400,50080,42010,261190
2015/02/28,,,,
2015/01/30,,,,
2014/12/30,129190,54500,39970,261890
2014/11/30,,,,
2014/10/30,,,,
2014/09/30,125780,40420,24190,231840
2014/08/30,,,,
2014/07/30,,,,
2014/06/30,121610,37900,20770,222520
2014/05/30,,,,
2014/04/30,,,,
2014/03/30,116530,36360,19030,205990
2014/02/28,,,,
2014/01/30,,,,
2013/12/30,110920,40160,17900,225180
2013/11/30,,,,
2013/10/30,,,,
2013/09/30,105070,31860,14930,207000
2013/08/30,,,,
2013/07/30,,,,
2013/06/30,101180,29620,15720,199860
2013/05/30,,,,
2013/04/30,,,,
2013/03/30,96690,28380,15160,194740
2013/02/28,,,,
2013/01/30,,,,
2012/12/30,93800,32560,15100,196090
2012/11/30,,,,
2012/10/30,,,,
2012/09/30,89730,22830,16040,176060
2012/08/30,,,,
2012/07/30,,,,
2012/06/30,86050,21020,14930,162900
2012/05/30,,,,
2012/04/30,,,,
2012/03/30,77140,20340,7184,150930
2012/02/29,,,,
2012/01/30,,,,
2011/12/30,72570,25280,6331,138680
2011/11/30,,,,
2011/10/30,,,,
2011/09/30,69090,19050,,116370
2011/08/30,,,,
2011/07/30,,,,
2011/06/30,64860,17940,,106760
2011/05/30,,,,
2011/04/30,,,,
2011/03/30,59960,16880,,94900
2011/02/28,,,,
2011/01/30,,,,
2010/12/30,57850,18800,,86740
2010/11/30,,,,
2010/10/30,,,,
2010/09/30,53340,14160,,75180
2010/08/30,,,,
2010/07/30,,,,
2010/06/30,48040,12400,,64720
2010/05/30,,,,
2010/04/30,,,,
2010/03/30,42870,12040,,57060
2010/02/28,,,,
2010/01/30,,,,
2009/12/30,40500,13810,,53930
2009/11/30,,,,
2009/10/30,,,,
2009/09/30,37700,8972,,47500
2009/08/30,,,,
2009/07/30,,,,
2009/06/30,35160,7675,,48140
2009/05/30,,,,
2009/04/30,,,,
2009/03/30,33510,6980,,43240
2009/02/28,,,,
2009/01/30,,,,
2008/12/30,31770,8314,,42790
2008/11/30,,,,
2008/10/30,,,,
2008/09/30,30810,6566,,36170
2008/08/30,,,,
2008/07/30,,,,
2008/06/30,29180,6322,,31710
2008/05/30,,,,
2008/04/30,,,,
2008/03/30,27600,5883,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
